Austria,Austria - Niederösterreich,Adlitzgräben,"Adlitzgräben is a real craggers crag, near to the old wealthy resort of Semmering.",Limestone,1000m
Austria,Austria - Niederösterreich,Hohe Wand,Hohe Wand is an extensive sub-alpine climbing area just an hours drive from Vienna.,Limestone,1000m
England,England - Peak District,Stanage - The best 50 routes,"England's most popular, and arguably, best crag. If nothing else, for the sheer variety, number, quality and enjoyment of the routes.",Gritstone,300m
England,England - South West,Ladye Bay,"A pleasant bouldering crag in Clevedon. There are a couple of good buttresses, many isolated problems, and even some trad and bolted routes. The attraction however is the bouldering.",Sandstone,0m
France,France - Alpes Maritimes,Aiglun - Paroi du Giet,Aiglun is a beautiful village in the East of Provence next to an impressive gorge.,Limestone,800m
France,France - Alpes Maritimes,Bonson,"Bonson is a nice village in the south of France, about 45min from Nice. The crag is located at the top of the small hill around the corner (can't see it from the village).",Limestone,800m
France,France - Alpes Maritimes,La Colle sur Loup,La Colle sur Loup is nice local village in the south of France which has a very long climbing area with lots of different routes. The routes are quite short (10-20m) and well bolted.,Limestone,30m
France,France - Alpes Maritimes,Peillon - Baus Roux,"A pleasant crag a few kilometres North of La Turbie. The crag has many gouttes and incut holds, and although polished there are lots of excellent mid grade routes.",Limestone,550m
France,France - Doubs,Baume les Dames - Quint,"A large, important crag with many routes, especially in the harder grades.",Limestone,300m
France,France - Doubs,Baume les Dames - Sous Buen,"Sous Buen is a pleasant crag in a beautiful location overlooking the Doubs. It has single pitch routes in all grades from 3 to 8, up to 30m in length, many with the name written at the bottom.",Limestone,300m
France,France - Languedoc-Roussillon,Claret,"Claret is a small, pretty village 20km North of Montpellier.",Limestone,200m
France,France - Provence,Combe de l'Ermitage,"A friendly little crag with some  excellent mid grade routes. It has easy access, gets the sun until mid afternoon and is well bolted with mostly slabby / vertical routes up to 30m in length.",Limestone,250m
France,France - Provence,Orgon,The climbing at Orgon is in a surprisingly beautiful location given its proximity to the Autoroute du Soleil.,Limestone,100m
France,France - Vercors,Vercors - Tina Dalle,"Tina Dalle is an easily accessible, single pitch, sport climbing crag near the approach path that leads to the ""grandes voies"" of Présles. It has some excellent routes.",Limestone,800m
France,France - Vosges,Gueberschwihr,Gueberschwihr is a beautiful little village in the middle of the vineyards on the edge of the Vosges.,Sandstone,400m
France,France - Vosges,"Lac Blanc, Rocher Hans",An interesting granite crag in a beautiful location with multi pitch routes up to 70m in length.,Granite,1100m
